;band_name;album_link
285;b.e.r.i.d.o.x.;https://www.cdbaby.com/cd/beridox2
286;benjamin e. rios;https://www.cdbaby.com/cd/berios
287;berioso;https://www.cdbaby.com/cd/berioso
288;david berkeley;https://www.cdbaby.com/cd/berkeley
289;berkeley chinese a cappella;https://www.cdbaby.com/cd/berkeleychineseacappella
290;berkhouse/snyder;https://www.cdbaby.com/cd/berkhousesnyder
291;berklee college of music;https://www.cdbaby.com/cd/berkleecom
292;berkley hart;https://www.cdbaby.com/cd/berkleyhart
293;laura berman;https://www.cdbaby.com/cd/berman
294;berman patterson;https://www.cdbaby.com/cd/bermanpatterson
295;berman;https://www.cdbaby.com/cd/bermanrock
296;various artists: darryl simons, jacqueline simons, clive francis, sheila smith, sia spence;https://www.cdbaby.com/cd/bermudaful
297;bermuda mavericks comedy show;https://www.cdbaby.com/cd/bermudamav
298;bernadett york;https://www.cdbaby.com/cd/bernadett
299;bernadette;https://www.cdbaby.com/cd/bernadette
300;bernadette golden;https://www.cdbaby.com/cd/bernadettegolden
301;bernadette harold;https://www.cdbaby.com/cd/bernadetteharold
302;bernadette lawrence;https://www.cdbaby.com/cd/bernadettel
303;bernadette yao;https://www.cdbaby.com/cd/bernadetteyao
304;dan berggren;https://www.cdbaby.com/cd/berggren
305;carlee smith;https://www.cdbaby.com/cd/carlee
306;carlena prophet;https://www.cdbaby.com/cd/carlenaprophet2
307;carlene b. wilson;https://www.cdbaby.com/cd/carlenebwilson
308;bernal/eckroth/ennis;https://www.cdbaby.com/cd/BernalEckrothEnnis
309;kevin neil bernard;https://www.cdbaby.com/cd/bernard
310;bernard;https://www.cdbaby.com/cd/bernard2
311;carl legere;https://www.cdbaby.com/cd/carllegere
312;carl leta;https://www.cdbaby.com/cd/carlleta
313;bernard alcorn;https://www.cdbaby.com/cd/bernardalcorn
314;bernard bernard;https://www.cdbaby.com/cd/bernardbernard
315;bernard binns;https://www.cdbaby.com/cd/bernardbinns
316;samuel seth bernard & may erlewine;https://www.cdbaby.com/cd/bernarderlewine
317;bernard h. rose;https://www.cdbaby.com/cd/BernardHRose
318;bernard hudson;https://www.cdbaby.com/cd/BernardHudson
319;carlo bernardinello;https://www.cdbaby.com/cd/bernardinello
320;nate bernardini;https://www.cdbaby.com/cd/bernardini
321;bernard loughrey;https://www.cdbaby.com/cd/bernardloughrey
322;bernard marshall;https://www.cdbaby.com/cd/bernardmarshall
323;bernard mcgee;https://www.cdbaby.com/cd/bernardmcgee
